ID,Subzone,Subzone Total,Total Males,Total Females,Total Chinese,Chinese Males,Chinese Females,Total Malays,Malay Males,Malay Females,Total Indians,Indian Males,Indian Females,Total Others,Others Male,Others_Females
67,SAUJANA,25920,12830,13090,18540,9140,9400,4630,2350,2290,2250,1150,1100,510,200,310
68,SENJA,20170,9920,10260,14810,7330,7480,3360,1630,1730,1560,790,770,440,170,270
70,ANAK BUKIT,21870,10370,11500,19930,9400,10530,210,90,120,880,430,450,850,440,410
71,CORONATION ROAD,6690,3050,3650,5880,2690,3190,30,10,20,280,130,150,510,220,290
72,FARRER COURT,6180,2900,3280,5430,2540,2890,90,40,50,270,130,140,390,190,200
73,HILLCREST,9470,4170,5300,7890,3460,4430,60,10,50,580,260,320,950,440,510
74,HOLLAND ROAD,10840,4800,6040,9350,4100,5250,60,20,40,510,240,270,920,440,490
75,LEEDON PARK,6440,2960,3480,5120,2310,2810,70,20,40,410,200,220,850,430,420
76,SWISS CLUB,5340,2470,2880,4540,2060,2480,50,20,30,260,140,120,490,240,250
77,ULU PANDAN,11020,5280,5740,9260,4390,4880,80,30,50,660,330,330,1020,530,490
79,CENTRAL WATER CATCHMENT,,,,,,,,,,,,,,,
81,CHANGI AIRPORT,10,,,,,,,,,,,,,,
82,CHANGI POINT,540,300,240,250,140,110,180,90,90,60,40,20,50,30,20
83,CHANGI WEST,1300,660,650,560,270,290,440,230,210,260,140,120,40,10,20
85,CHANGI BAY,,,,,,,,,,,,,,,
87,CHOA CHU KANG CENTRAL,22530,11180,11340,17320,8570,8750,2870,1410,1460,1760,920,830,580,280,300
88,CHOA CHU KANG NORTH,31930,15860,16070,22490,11190,11300,5360,2650,2710,3160,1590,1580,910,440,480
89,KEAT HONG,38180,19010,19170,25720,12780,12930,8370,4240,4130,3320,1690,1620,780,290,490
90,PENG SIANG,34720,17340,17390,23160,11540,11610,6990,3510,3480,3730,1900,1830,860,390,460
91,TECK WHYE,24320,12190,12140,15450,7760,7690,5830,2930,2910,2530,1290,1240,510,210,300
92,YEW TEE,40390,20100,20280,29390,14550,14840,6080,3050,3030,3540,1830,1710,1380,680,700
94,CLEMENTI CENTRAL,14000,6600,7400,11190,5250,5950,1420,690,730,940,470,480,440,200,250
95,CLEMENTI NORTH,28810,13400,15410,23270,10740,12530,2760,1350,1420,1980,970,1020,790,340,450
96,CLEMENTI WEST,15260,7310,7950,10940,5170,5770,2190,1100,1090,1700,850,850,440,200,240
97,CLEMENTI WOODS,16000,7660,8340,12430,5880,6560,1630,820,810,1380,680,690,560,280,290
98,FABER,5360,2620,2740,4840,2370,2470,30,20,20,270,140,130,230,110,130
99,PANDAN,20,,,,,,,,,,,,,,
100,SUNSET WAY,5650,2640,3010,4740,2190,2550,180,80,90,360,180,180,380,190,190
101,TOH TUCK,20,,,,,,,,,,,,,,
102,WEST COAST,6870,3370,3500,6190,3020,3170,70,30,40,340,180,160,270,140,140
104,ANSON,80,,,,,,,,,,,,,,
105,BAYFRONT SUBZONE,,,,,,,,,,,,,,,
106,BUGIS,890,440,450,800,390,410,10,10,10,40,20,20,40,30,20
107,CECIL,260,130,130,190,90,100,,,,10,10,10,50,30,20
108,CENTRAL SUBZONE,880,410,470,650,300,350,10,,,60,30,30,160,80,90
109,CITY HALL,80,,,,,,,,,,,,,,
110,CLIFFORD PIER,,,,,,,,,,,,,,,
111,MARINA CENTRE,10,,,,,,,,,,,,,,
112,MAXWELL,,,,,,,,,,,,,,,
113,NICOLL,290,150,140,210,110,100,,,,20,10,10,60,30,30
114,PHILLIP,10,,,,,,,,,,,,,,
115,RAFFLES PLACE,40,,,,,,,,,,,,,,
116,TANJONG PAGAR,670,350,320,500,240,260,10,,,50,40,10,110,70,40
118,ALJUNIED,39990,19740,20250,33870,16680,17190,2300,1140,1160,2330,1230,1100,1500,690,810
119,GEYLANG EAST,29920,14540,15380,22210,10720,11490,4100,2000,2100,2520,1290,1230,1100,530,570
120,KALLANG WAY,30,,,,,,,,,,,,,,
121,KAMPONG UBI,11800,5890,5910,8110,4030,4080,2340,1180,1150,1030,540,480,330,130,190
122,MACPHERSON,28360,14070,14300,21240,10490,10750,3740,1880,1870,2750,1460,1290,630,240,390
124,DEFU INDUSTRIAL PARK,20,,,,,,,,,,,,,,
125,HOUGANG CENTRAL,4720,2350,2370,4130,2070,2060,200,100,100,340,160,180,60,30,30
126,HOUGANG EAST,24920,12110,12810,20400,9940,10460,2010,970,1040,2020,1010,1010,490,190,300
127,HOUGANG WEST,45460,22410,23050,36270,17850,18420,4390,2200,2190,3930,2010,1920,870,350,520
128,KANGKAR,32290,15740,16540,26340,12870,13470,2470,1190,1280,2730,1380,1350,750,310,440
129,KOVAN,24810,11960,12840,22240,10710,11520,550,260,290,1350,670,690,670,330,340
130,LORONG AH SOO,32320,15270,17050,27060,12700,14350,2290,1140,1150,2360,1170,1190,620,260,360
131,LORONG HALUS,,,,,,,,,,,,,,,
132,TAI SENG,13830,6670,7160,11370,5440,5930,1130,560,570,1070,570,500,270,110,160
133,TRAFALGAR,49200,24950,24240,37000,18710,18290,5720,2900,2820,4920,2640,2280,1560,700,860
135,INTERNATIONAL BUSINESS PARK,10,,,,,,,,,,,,,,
136,JURONG GATEWAY,450,210,240,410,190,220,,,,30,10,10,10,10,10
137,JURONG PORT,,,,,,,,,,,,,,,
138,JURONG RIVER,10,,,,,,,,,,,,,,
139,LAKESIDE (BUSINESS),,,,,,,,,,,,,,,
140,LAKESIDE (LEISURE),1070,570,500,910,480,430,40,20,20,80,50,40,40,20,20
141,PENJURU CRESCENT,10,,,,,,,,,,,,,,
142,TEBAN GARDENS,18530,9250,9280,11490,5730,5760,4590,2270,2320,2110,1110,1000,350,140,210
143,TOH GUAN,14590,7230,7360,11160,5510,5650,1560,770,790,1470,770,700,390,180,210
144,YUHUA EAST,24770,12120,12650,17960,8710,9250,3570,1810,1760,2700,1370,1330,550,240,310
145,YUHUA WEST,19160,9530,9630,13480,6670,6820,2940,1490,1460,2220,1150,1060,510,230,290
147,BOON LAY PLACE,29340,15060,14270,19040,9760,9280,6840,3520,3320,2710,1470,1240,740,310,430
148,CHIN BEE,,,,,,,,,,,,,,,
149,HONG KAH,53890,26650,27230,36750,18080,18670,10240,5090,5160,5690,2970,2720,1200,510,690
150,JURONG WEST CENTRAL,63760,31810,31950,49000,24360,24640,7450,3750,3700,5290,2770,2520,2030,940,1090
151,KIAN TECK,40,,,,,,,,,,,,,,
